id;ambito;tipo_esperado;afirmacion;dictamen_de;url_dictamen;fecha_dictamen;nota_contexto
LC-B01;ES;Falso;Un vídeo muestra una larga fila de marroquíes y pakistaníes ante una oficina de Extranjería en España esperando turno para entregar la documentación de la regularización extraordinaria de 2026;Maldita.es;https://maldita.es/malditobulo/20260205/video-muestra-fila-de-marroquies-y-pakistanies-afuera-de-la-oficina-de-extranjeria-esperando-turno-para-entregar-documentacion-para-la-regularizacion/;2026-02;Vídeo generado con IA (etiqueta de IA, caras difuminadas, rótulos distorsionados)
LC-B02;ES;Falso;Pfizer presentó una vacuna de ARNm contra el hantavirus coincidiendo con la aparición de casos de la enfermedad en un crucero en mayo de 2026;Maldita.es;https://maldita.es/desinfo/20260506/pfizer-presento-una-vacuna-para-el-hantavirus-coincidiendo-con-la-aparicion-de-la-enfermedad-en-un-crucero/;2026-05;No existe vacuna autorizada contra el hantavirus; la captura usa un titular real sobre una vacuna de gripe
LC-B03;ES;Falso;El juez Presencia ha denunciado al magistrado Juan Carlos Peinado por un delito de blanqueo de capitales al tener cuentas en paraísos fiscales;Maldita.es;https://maldita.es/desinfo/20260717/el-juez-presencia-denuncia-ante-la-aai-al-magistrado-juan-carlos-peinado-por-un-delito-de-blanqueo-de-capitales-al-tener-cuentas-en-paraisos-fiscales/;2026-07;Montaje del 'Expediente Royuela' con extractos bancarios falsificados
LC-B04;ES;Falso;Colocar la bandera de España en el balcón durante el Mundial de 2026 puede acarrear multas de hasta 3.000 euros;Newtral;https://www.newtral.es/bulo-multas-bandera-espana-mundial/20260714/;2026-07;No existe ninguna norma que sancione con hasta 3.000 euros por la bandera en el balcón
LC-B05;ES;Falso;El Gobierno de España ha creado una marca de ropa, según afirmó Santiago Abascal en julio de 2026;Newtral;https://www.newtral.es/abascal-marca-ropa-factcheck/20260709/;2026-07;El Gobierno no ha creado ninguna marca de ropa
LC-B06;ES;Falso;Una fotografía muestra a Isabel Díaz Ayuso posando junto a los directivos de Quirón con los que comió en León;Newtral;https://www.newtral.es/foto-ayuso-directivos-quiron-leon-bulo/20260621/;2026-06;Foto manipulada: las personas no son directivos de Quirón y las caras fueron alteradas
LC-B07;ES;Falso;Un vídeo muestra a un nieto de Hugo Chávez cantando en Got Talent España sobre las injusticias causadas en Venezuela por su abuelo;Maldita.es;https://maldita.es/malditobulo/20260213/nieto-hugo-chavez-got-talent-espana/;2026-02;Vídeo creado con IA sobre imágenes del programa; el mismo montaje circuló en 2025 como nieto de Maduro
LC-B08;ES;Engañoso;A partir de enero de 2026 se elimina el límite de 3.000 euros de Bizum y todas las transacciones se reportarán automáticamente a Hacienda;Maldita.es;https://maldita.es/malditobulo/20251215/a-partir-de-enero-de-2026-se-elimina-el-limite-de-3000-euros-de-bizum-y-todas-las-transacciones-se-reportaran-automaticamente-a-hacienda/;2025-12;El reporte automático solo afecta a cobros de empresarios/profesionales, no a bizums entre particulares
LC-B09;ES;Engañoso;La DGT ha aprobado una nueva sanción de 200 euros para los conductores que circulen solos en su coche;Maldita.es;https://maldita.es/desinfo/20260709/multas-por-fotocopiar-de-manera-innecesaria-un-dni-o-sanciones-por-circular-una-persona-sola-en-un-coche-medidas-que-se-viralizan-como-actuales-cuando-no-lo-son/;2026-07;Medida antigua viralizada como nueva: solo aplica a carriles VAO
LC-B10;ES;Engañoso;El PP ha votado en contra de las medidas sociales del Gobierno, como la subida del SMI y la revalorización de las pensiones, según afirmó Pedro Sánchez;Newtral;https://www.newtral.es/pedro-sanchez-pp-voto-contra-medidas-sociales-smi-pensiones-factcheck/20260618/;2026-06;Mezcla votos en contra reales con abstenciones, apoyos y medidas no votadas
LC-B11;ES;Engañoso;Los incendios forestales en España se provocan para recalificar los terrenos quemados e instalar plantas de energías renovables;Maldita.es;https://maldita.es/clima/20260707/incendios-forestales-renovables-recalificar/;2026-07;Narrativa infundada: la ley de montes veta el cambio de uso 30 años tras un incendio
LC-B12;ES;Engañoso;Un vídeo muestra a una presentadora de RTVE sonriendo mientras informa del número de fallecidos del accidente de tren de Adamuz de enero de 2026;Newtral;https://www.newtral.es/bulos-adamuz/20260119/;2026-01;Descontextualizado: en ese momento hablaba de la ola de solidaridad
LC-B13;BG;Falso;El Tribunal General de la UE ha admitido a trámite una demanda que impugna la legalidad de la entrada de Bulgaria en la eurozona;Factcheck.bg;https://factcheck.bg/ne-sadat-na-es-ne-e-vzel-reshenie-da-dopusne-zhalba-sreshtu-priemaneto-na-evroto-v-balgariya/;2025-12;El registro procesal es un paso administrativo estándar, no una admisión a trámite
LC-B14;BG;Falso;La eurozona está en quiebra técnica y, al entrar en ella, Bulgaria tendrá que pagar las deudas de Francia, según afirmó el líder de Vazrazhdane, Kostadin Kostadinov;Factcheck.bg;https://factcheck.bg/politicheck-ne-e-vyarno-che-evrozonata-e-v-sastoyanie-na-tehnicheski-falit-kakto-tvardi-kostadinov/;2025-10;La eurozona no tiene deuda común y ningún miembro asume las deudas de otro
LC-B15;BG;Engañoso;La ministra de Exteriores de Bulgaria firmó la Declaración de Kiev del 15 de julio de 2026;Factcheck.bg;https://factcheck.bg/podpisala-li-e-balgariya-kievskata-deklaraciya-ot-15-juli/;2026-07;Bulgaria la respaldó por consenso; ese tipo de declaración no se firma físicamente ni vincula
LC-B16;BG;Falso;La Comisión Europea ha puesto en marcha su venganza financiera contra Bulgaria: el procedimiento por déficit excesivo es un castigo político que usa los fondos europeos como arma de coacción;EUvsDisinfo;https://euvsdisinfo.eu/report/european-commissions-financial-revenge-against-bulgaria-may-have-started/;2026-06;Procedimiento económico reglado que afectó a la vez a Alemania, Estonia, Letonia y Eslovenia
LC-B17;EU;Falso;Vídeos grabados en Italia y Alemania muestran semáforos derritiéndose por la ola de calor extremo que sufre Europa;Full Fact;https://fullfact.org/environment/video-traffic-light-melting-heatwave-false/;2026-07;Los daños se debían a incendios próximos, no a la temperatura ambiente
LC-B18;EU;Engañoso;El Gobierno británico va a gastar 270.000 millones de libras adicionales en defensa durante esta legislatura;Full Fact;https://fullfact.org/politics/270-bn-defence-extra-repeat/;2026-06;Es el presupuesto total de Defensa 2025/26-2028/29, no un incremento adicional
LC-B19;ES;Engañoso;Un vídeo muestra a dos magrebíes propinando una paliza a un anciano a plena luz del día en un parque de Sevilla;Maldita.es;https://maldita.es/desinfo/20260716/dos-magrebies-propinan-una-paliza-a-un-anciano-a-plena-luz-del-dia-en-un-parque-de-sevilla/;2026-07;Agresión real pero en Bruselas (mayo 2026); nacionalidad no informada; ya circuló atribuido a Barcelona
LC-B20;ES;Falso;La UCO ha registrado una mansión de Pedro Sánchez y Begoña Gómez en Dubái y ha encontrado dinero y lingotes de oro;Newtral;https://www.newtral.es/oro-sanchez-dubai/20260716/;2026-07;Sin constancia oficial ni judicial; procede de una red de canales de desinformación en YouTube
LC-B21;BG;Verdadero;Bulgaria adoptó oficialmente el euro el 1 de enero de 2026 y se convirtió en el vigesimoprimer país de la eurozona, con un tipo de conversión fijo de 1,95583 levas por euro;Cobertura de referencia: Comisión Europea;https://trade.ec.europa.eu/access-to-markets/es/news/bulgaria-adopta-el-euro-partir-del-1-de-enero-de-2026;2026-01;Confirmado por la Comisión Europea; doble circulación en enero y doble etiquetado hasta agosto de 2026
LC-B22;EU;Verdadero;El socialista António José Seguro ganó el 8 de febrero de 2026 la segunda vuelta de las elecciones presidenciales de Portugal frente a André Ventura, líder de Chega, con cerca del 66% de los votos;Cobertura de referencia: Infobae, eldiario.es;https://www.infobae.com/america/mundo/2026/02/08/el-socialista-antonio-jose-seguro-es-el-nuevo-presidente-electo-de-portugal-tras-ganar-en-segunda-vuelta-por-amplio-margen/;2026-02;Seguro 65,7% frente a 34,3%; primera presidencial portuguesa decidida en segunda vuelta en 40 años
LC-B23;EU;Verdadero;Los Juegos Olímpicos de Invierno Milán-Cortina 2026 se inauguraron el 6 de febrero de 2026 con una ceremonia en el estadio de San Siro de Milán y se clausuraron el 22 de febrero en la Arena de Verona;Cobertura de referencia: Infobae, Olympics.com;https://www.infobae.com/deportes/2026/02/06/comienzan-los-juegos-olimpicos-de-invierno-milano-cortina-2026-sedes-iconica-apertura-y-todo-lo-que-hay-que-saber/;2026-02;Primeros Juegos de invierno repartidos entre dos ciudades
LC-B24;BG;Verdadero;Bulgaria ganó el Festival de Eurovisión 2026, celebrado en mayo en Viena, con la canción Bangaranga interpretada por Dara, primera victoria del país en el certamen;Cobertura de referencia: NPR, NBC News;https://www.npr.org/2026/05/16/nx-s1-5824393/eurovision-winner-dara-bangaranga-bulgaria-vienna-austria;2026-05;Final el 16-05-2026 en el Wiener Stadthalle; 516 puntos
LC-B25;ES;Verdadero;El PP ganó las elecciones a las Cortes de Castilla y León celebradas el 15 de marzo de 2026 con 33 de los 81 escaños, sin alcanzar la mayoría absoluta, seguido del PSOE con 30 y Vox con 14;Cobertura de referencia: El Español, eldiario.es;https://www.elespanol.com/espana/20260316/resultados-elecciones-castilla-leon-directo-ultima-hora-escanos-conseguidos-pp-psoe-vox/1003744170785_10.html;2026-03;Mañueco revalidó sin mayoría absoluta; Vox llave de la investidura. NOTA: la afirmación contiene un error menor (la cámara pasó a 82 escaños en 2026, no 81), detectado por el verificador durante la evaluación
LC-B26;ES;Verdadero;España no participó en el Festival de Eurovisión de 2026, su primera ausencia desde su debut en el certamen en 1961;Cobertura de referencia: NPR, eurovision-spain.com;https://www.npr.org/2026/05/16/nx-s1-5824393/eurovision-winner-dara-bangaranga-bulgaria-vienna-austria;2026-05;RTVE se retiró junto a Islandia, Irlanda, Países Bajos y Eslovenia en protesta por la permanencia de Israel
LC-B27;mundo;Verdadero;Los wombats, marsupiales australianos, son el único animal conocido que produce heces en forma de cubo;Maldita Ciencia;https://maldita.es/malditaciencia/20240809/wombat-heces-cubos/;2024-08;Confirmado con estudios de 2018 y 2021 (Soft Matter, Universidad de Tasmania)
LC-B28;mundo;Verdadero;El animal nacional de Escocia es el unicornio, presente en la heráldica real escocesa desde el siglo XII;Web oficial Scotland.org;https://www.scotland.org/inspiration/what-is-the-national-animal-of-scotland;2026-07;Confirmado por la web institucional escocesa
LC-B29;EU;Verdadero;En Francia la ley permite casarse con una persona fallecida: el artículo 171 del Código Civil contempla el matrimonio póstumo con autorización del presidente de la República;Cobertura de referencia: The Local France;https://www.thelocal.fr/20250124/france-facts-dead-people-can-get-married;2025-01;Figura de 1959 aún vigente; exige probar la intención previa y aprobación presidencial
LC-B30;EU;Verdadero;La Torre Eiffel es más alta en verano que en invierno porque el calor dilata el hierro de su estructura;Web oficial Torre Eiffel (SETE);https://www.toureiffel.paris/en/news/history-and-culture/why-does-eiffel-tower-change-size;2026-07;Dilatación térmica confirmada por la página oficial
